ch1,ch2,ch3,ch4,Value,Tag
798.205139160156,797.802185058594,799.010986328125,790.146545410156,R,HK
809.487182617188,798.205139160156,805.054931640625,810.695983886719,R,HK
801.428588867188,791.758239746094,808.278381347656,811.501831054687,R,HK
791.758239746094,785.311340332031,796.190490722656,791.355285644531,R,HK
796.190490722656,795.384643554688,799.413940429688,811.098876953125,R,HK
798.608032226563,796.593383789063,802.234436035156,799.413940429688,R,HK
802.234436035156,788.534790039062,804.652038574219,804.249084472656,R,HK
788.131896972656,793.369934082031,799.010986328125,782.893798828125,R,HK
799.413940429688,795.384643554688,802.637390136719,797.399291992187,R,HK
805.457885742188,792.967041015625,801.025634765625,799.010986328125,R,HK
797.802185058594,795.384643554688,803.040283203125,788.937744140625,R,HK
804.652038574219,795.787536621094,801.025634765625,810.695983886719,R,HK
801.831481933594,790.952392578125,803.443237304688,804.249084472656,R,HK
799.010986328125,797.399291992187,814.725280761719,813.516479492188,R,HK
821.575073242187,834.468872070313,771.611694335938,810.293029785156,L,HK
828.827819824219,816.739929199219,777.655700683594,819.560424804688,L,HK
813.113525390625,801.025634765625,787.728942871094,823.186828613281,L,HK
795.384643554688,806.263732910156,798.608032226563,785.714294433594,L,HK
790.549438476563,799.816833496094,809.89013671875,774.029296875,L,HK
826.410278320313,804.249084472656,804.652038574219,832.05126953125,L,HK
799.010986328125,795.384643554688,817.142883300781,778.864440917969,L,HK
786.1171875,788.131896972656,812.710632324219,780.879150390625,L,HK
800.622680664062,794.175842285156,819.560424804688,796.190490722656,L,HK
794.981689453125,783.699645996094,828.424926757813,818.754577636719,L,HK
800.219787597656,792.564086914063,812.710632324219,824.798522949219,L,HK
802.637390136719,799.413940429688,818.754577636719,818.351623535156,L,HK
806.263732910156,802.637390136719,819.560424804688,805.457885742188,L,HK
794.175842285156,799.010986328125,809.084228515625,799.816833496094,L,HK
792.161193847656,795.384643554688,810.293029785156,797.802185058594,L,HK
801.428588867188,797.399291992187,797.802185058594,815.93408203125,L,HK
813.113525390625,800.219787597656,806.666687011719,816.336975097656,L,HK
817.142883300781,801.025634765625,805.457885742188,823.186828613281,L,HK
805.457885742188,801.025634765625,805.457885742188,815.531127929688,L,HK
815.93408203125,800.622680664062,801.831481933594,830.842468261719,L,HK
798.608032226563,796.996337890625,807.069580078125,799.816833496094,L,HK
791.758239746094,798.205139160156,818.754577636719,811.098876953125,L,HK
784.1025390625,803.443237304688,805.860778808594,755.091552734375,L,HK
804.652038574219,796.593383789063,809.084228515625,816.336975097656,L,HK
813.91943359375,784.505493164063,799.010986328125,811.098876953125,L,HK
800.622680664062,794.578735351563,805.054931640625,800.219787597656,L,HK
804.249084472656,805.457885742188,789.340637207031,798.608032226563,L,HK
827.216125488281,820.769226074219,811.501831054687,834.06591796875,L,HK
812.710632324219,801.831481933594,810.695983886719,828.02197265625,L,HK
807.472534179687,802.637390136719,806.666687011719,808.681335449219,L,HK
810.695983886719,799.010986328125,808.681335449219,806.263732910156,L,HK
772.417602539062,788.534790039062,807.069580078125,788.937744140625,L,HK
784.908447265625,801.831481933594,821.575073242187,797.802185058594,L,HK
804.652038574219,795.384643554688,802.637390136719,808.681335449219,L,HK
776.849792480469,789.340637207031,824.798522949219,783.296691894531,L,HK
805.457885742188,796.190490722656,806.666687011719,803.846130371094,L,HK
807.472534179687,804.249084472656,809.084228515625,815.531127929688,L,HK
803.443237304688,794.175842285156,801.025634765625,815.531127929688,L,HK
791.355285644531,783.699645996094,816.739929199219,797.802185058594,L,HK
781.684997558594,781.684997558594,823.589721679688,797.399291992187,L,HK
799.816833496094,805.860778808594,802.234436035156,817.94873046875,L,HK
806.666687011719,803.040283203125,808.278381347656,810.293029785156,L,HK
826.813171386719,801.025634765625,806.263732910156,815.531127929688,L,HK
813.113525390625,797.802185058594,809.89013671875,799.010986328125,L,HK
801.428588867188,804.652038574219,807.87548828125,804.249084472656,L,HK
810.293029785156,792.161193847656,806.666687011719,818.351623535156,L,HK
803.846130371094,801.831481933594,812.710632324219,814.725280761719,L,HK
784.908447265625,786.520141601563,818.754577636719,788.937744140625,L,HK
792.967041015625,808.278381347656,803.846130371094,788.534790039062,L,HK
826.813171386719,799.816833496094,806.263732910156,819.96337890625,L,HK
812.307678222656,799.816833496094,811.90478515625,819.560424804688,L,HK
805.457885742188,801.428588867188,805.457885742188,806.666687011719,L,HK
803.040283203125,798.608032226563,810.293029785156,803.443237304688,L,HK
797.399291992187,796.190490722656,803.443237304688,805.054931640625,L,HK
808.278381347656,789.743591308594,801.428588867188,816.739929199219,L,HK
805.860778808594,794.981689453125,803.040283203125,818.351623535156,L,HK
804.652038574219,799.816833496094,809.487182617188,806.666687011719,L,HK
813.91943359375,800.219787597656,802.637390136719,809.89013671875,L,HK
812.710632324219,798.608032226563,814.322326660156,812.710632324219,L,HK
